ExtractID,DocumentID,FieldName,FieldValue,ConfidenceScore
1,1,TotalAmount,Hard network gas you nearly,60.37
2,1,OrderDate,Reflect even edge building,84.84
3,2,OrderDate,Firm sea week,80.23
4,2,Department,Course school everybody,65.3
5,2,Quantity,With modern executive beyond create,73.96
6,3,Quantity,Guess few remain,74.78
7,4,IssueDate,Ever window network,93.34
8,5,UnitPrice,Point sell bill,86.71
9,5,AuthorizedBy,Off light,82.18
10,5,RecipientName,Future whole education technology,97.26
11,6,ItemDescription,State husband,70.58
12,7,AuthorizedBy,Officer rather,66.22
13,8,Department,Chance none fight,88.7
14,8,Quantity,Budget share paper,68.14
15,9,UnitPrice,Difficult mission late kind team,70.04
16,9,AuthorizedBy,Figure perform participant science,96.32
17,9,IssueDate,Personal enough ball,62.03
18,10,ReferenceNumber,Community avoid able,60.14
19,10,UnitPrice,Ready like allow explain,90.84
20,10,RecipientName,Reflect law reach,85.48
21,11,ItemDescription,Skin person product,82.06
22,11,IssueDate,Interesting name positive,77.1
23,12,OrderDate,Step author coach,63.01
24,13,ItemDescription,Organization station TV,93.38
25,13,AuthorizedBy,Buy read record wall,83.29
26,13,RecipientName,Music just our threat,65.92
27,14,RecipientName,Page ago director purpose,72.33
28,15,TotalAmount,Onto again share start office,68.4
29,16,OrderDate,Like prepare trouble,74.14
30,17,ReferenceNumber,Young job sport,94.58
31,17,ItemDescription,Like impact,99.04
32,17,Quantity,Prove tax form really,92.42
33,18,RecipientName,Production hundred set,89.46
34,18,ItemDescription,Lawyer fire,73.28
35,19,Quantity,Break significant ten stay,66.37
36,19,UnitPrice,Price my,88.04
37,20,RecipientName,Approach million performance material,68.9
38,20,IssueDate,Service data near until,92.66
39,21,TotalAmount,Thing machine ahead picture,92.81
40,21,UnitPrice,Report financial add,94.84
41,22,RecipientName,Behavior yeah tree left,86.39
42,23,TotalAmount,Positive child usually,94.57
43,23,UnitPrice,Meeting event strong,98.67
44,24,TotalAmount,During necessary himself two,75.98
45,24,AuthorizedBy,Second carry attorney significant take,99.24
46,25,TotalAmount,Various meet star executive,95.07
47,25,RecipientName,Study oil process,70.45
48,25,OrderDate,Land machine forward,83.22
49,26,RecipientName,Help usually thank wonder draw,83.86
50,26,OrderDate,Do simply analysis seat,73.82
51,27,ReferenceNumber,History professional star wonder,64.62
52,27,AuthorizedBy,Who call whole forward,95.97
53,28,UnitPrice,Them key,61.78
54,29,RecipientName,Treat address century that wide,97.01
55,29,AuthorizedBy,Light wide,81.53
56,30,Quantity,Perhaps however bag forget,62.8
57,30,TotalAmount,Here first responsibility service their,86.56
58,30,ReferenceNumber,Pay doctor,73.2
59,31,OrderDate,Young section its,80.28
